year,indicator_code,forecast,lower_bound,upper_bound,trend_type,confidence_level
2025,ACC_OWNERSHIP,55.68421052631578,32.78702725380191,78.58139379882965,linear,0.95
2026,ACC_OWNERSHIP,58.499999999999986,34.0218814491662,82.97811855083377,linear,0.95
2027,ACC_OWNERSHIP,61.31578947368419,35.35282404671,87.27875490065838,linear,0.95
