year,indicator_code,forecast,lower_bound,upper_bound,trend_type,confidence_level,scenario
2025,ACC_OWNERSHIP,64.97631578947367,42.0791325169598,87.87349906198754,linear,0.95,optimistic
2026,ACC_OWNERSHIP,68.63684210526314,44.15872355442936,93.11496065609693,linear,0.95,optimistic
2027,ACC_OWNERSHIP,72.29736842105262,46.33440299407843,98.26033384802682,linear,0.95,optimistic
2025,ACC_OWNERSHIP,55.68421052631578,32.78702725380191,78.58139379882965,linear,0.95,base
2026,ACC_OWNERSHIP,58.499999999999986,34.0218814491662,82.97811855083377,linear,0.95,base
2027,ACC_OWNERSHIP,61.31578947368419,35.35282404671,87.27875490065838,linear,0.95,base
2025,ACC_OWNERSHIP,46.39210526315789,23.494921990644013,69.28928853567176,linear,0.95,pessimistic
2026,ACC_OWNERSHIP,48.36315789473683,23.885039343903042,72.84127644557061,linear,0.95,pessimistic
2027,ACC_OWNERSHIP,50.33421052631578,24.371245099341586,76.29717595328998,linear,0.95,pessimistic
